id	anno	rank	genere
tt0042455	1950	6.6	Western
tt0042951	1950	6.1	Drama
tt0043515	1951	6.6	Horror,Sci-Fi
tt0043985	1950	4.0	Drama
tt0044541	1952	5.3	Western
tt0045005	1952	5.9	Adventure,Drama
tt0045573	1953	5.8	Western
tt0046036	1953	6.3	Crime,Drama,Film-Noir
tt0047078	1955	6.2	Adventure
tt0047547	1954	7.0	Action,Fantasy,Sci-Fi
tt0048096	1955	7.2	Comedy,War
tt0048563	1955	7.0	Comedy,Drama,Romance
tt0049111	1957	7.4	Comedy
tt0050103	1957	5.7	Crime,Film-Noir
tt0050562	1957	5.7	Action,Drama,Romance
tt0051572	1958	6.1	Crime,Drama
tt0052028	1958	5.4	Crime,Drama
tt0052597	1960	6.5	Comedy
tt0053054	1959	7.0	Comedy,Romance
tt0053612	1960	5.2	Comedy,Crime
tt0054071	1961	7.4	Thriller
tt0054599	1961	7.8	Drama
tt0055061	1961	6.9	Drama
tt0056050	1963	7.3	Drama
tt0056526	1962	6.0	Musical,Romance
tt0057046	1963	7.3	Drama
tt0057517	1963	6.7	Comedy,Drama,Romance
tt0058083	1964	8.0	Drama,Thriller,War
tt0058573	1964	6.4	Action,Drama
tt0059125	1965	6.7	Horror
tt0059644	1966	5.2	Adventure
tt0060238	1966	5.3	Western
tt0060779	1966	4.9	Comedy
tt0061408	1967	4.5	Action,Comedy,Drama
tt0061926	1967	5.0	Drama
tt0062452	1967	6.5	Drama
tt0063025	1968	6.3	Action,Crime
tt0064165	1970	7.6	Drama,Romance
tt0064676	1969	5.9	Comedy
tt0065179	1969	7.1	Drama
tt0065767	1970	6.8	Drama,War
tt0066273	1970	5.2	Drama
tt0066883	1972	7.8	Drama,History,War
tt0067434	1972	6.5	Mystery,Thriller
tt0068584	1972	7.4	Documentary,Music
tt0069100	1973	3.5	Comedy,Horror
tt0069744	1973	4.9	Drama
tt0070287	1973	6.4	Drama,Sport
tt0070829	1973	6.3	Drama,Fantasy,Horror
tt0071449	1975	7.2	Drama
tt0071992	1973	5.6	Drama
tt0072647	1974	6.6	Adult,Drama,Fantasy
tt0073198	1975	7.8	Drama
tt0073768	1975	6.0	Comedy
tt0074968	1976	6.6	Comedy,Family
tt0075636	1977	6.2	Comedy
tt0076171	1977	6.6	Drama
tt0076713	1977	7.0	Drama
tt0077395	1978	6.5	Action,Comedy
